absent,assist,assist_rate,attack_efficient,attack_ws,attackrebound_rate,behindrebound,block,block_rate,bottom_hand,bottom_hit,bottom_hit_rate,bottom_part_rate,close_hand,close_hit,close_hit_rate,close_part_rate,defend_efficient,defend_ws,defendrebound_rate,dunk,fault,first,foul,foul_plus_one,foul_rate,frontrebound,hand,hand1,hand3,hand_distance,hit,hit1,hit3,lose,middle_hand,middle_hit,middle_hit_rate,middle_part_rate,name,penalty,per_value,real_hit,rebound,rebound_rate,remote_hand,remote_hit,remote_hit_rate,remote_part_rate,score,season,shoot,shoot3,shoot_efficient,steal,steal_rate,team,time,use_rate,win,ws
75,2.3,10.8%,119,8.8,7.7%,8.0,2.6,5.6%,7.3,5.4,74.4%,37.4%,3.9,1.9,48.3%,20.1%,102,4.9,24.8%,211,2.2,75,2.1,66,8.6%,6.6,19.5,8.6,2.2,9.2,10.4,2.5,0.7,30,3.1,1.3,42.8%,15.7%,Anthony Davis,11.1,28.9,61.2%,82.8%,16.5%,3.1,1.0,33.9%,15.7%,28.1,17-18,53.4%,34.0%,55.2%,1.5,2.0%,新奥尔良鹈鹕,36.4,30.0%,45,13.7
75,2.1,11.1%,112,5.9,6.7%,8.6,2.2,5.1%,5.8,4.1,70.6%,28.3%,4.7,2.1,45.4%,23.2%,102,5.1,27.9%,136,2.4,75,2.2,72,9.1%,6.9,20.3,9.5,1.8,10.6,10.3,2.3,0.5,44,3.4,1.6,46.7%,16.8%,Anthony Davis,11.8,27.5,58.0%,80.2%,17.2%,4.6,1.9,41.4%,22.8%,28.0,16-17,50.5%,29.9%,51.8%,1.3,1.7%,新奥尔良鹈鹕,36.1,32.6%,31,11.0
61,1.9,10.0%,110,4.4,6.4%,7.0,2.0,4.7%,5.6,3.9,69.7%,29.9%,3.6,1.4,39.6%,19.5%,104,2.8,26.4%,147,2.0,61,2.4,36,8.4%,5.3,18.6,8.1,1.8,10.3,9.2,2.1,0.6,37,3.1,1.3,42.0%,16.5%,Anthony Davis,10.3,25.0,55.9%,75.8%,16.1%,4.6,2.0,43.4%,24.6%,24.3,15-16,49.3%,32.4%,50.8%,1.3,1.8%,新奥尔良鹈鹕,35.4,29.6%,24,7.2
68,2.2,11.6%,122,9.9,8.0%,6.8,2.9,6.2%,6.2,4.6,73.4%,35.4%,3.0,1.3,43.3%,16.9%,100,4.2,24.1%,150,1.4,68,2.1,51,6.3%,5.5,17.6,7.7,0.2,9.5,9.4,2.5,0.0,29,3.1,1.4,45.1%,17.8%,Anthony Davis,10.2,30.8,59.1%,80.5%,16.1%,5.1,2.1,41.9%,28.9%,24.4,14-15,53.5%,8.3%,53.6%,1.5,2.1%,新奥尔良鹈鹕,36.2,27.8%,39,14.0
52,2.1,20.8%,102,0.5,3.3%,1.6,0.3,1.4%,1.1,0.7,63.8%,25.1%,0.6,0.3,53.3%,13.0%,102,1.1,18.2%,11,1.0,0,0.7,5,16.5%,1.1,4.4,2.5,0.6,13.5,1.9,0.4,0.3,21,0.4,0.1,30.4%,10.0%,Tracy McGrady,3.0,13.6,51.0%,67.5%,10.8%,1.7,0.5,29.9%,37.7%,5.3,11-12,43.7%,45.5%,47.0%,0.3,1.0%,亚特兰大老鹰,16.1,18.0%,31,1.6
9,2.3,17.7%,109,0.3,3.1%,4.2,1.0,3.6%,2.6,1.9,73.9%,20.7%,1.3,0.6,41.7%,10.8%,97,0.5,19.1%,2,1.8,9,1.0,2,11.1%,3.4,12.3,4.0,3.9,14.0,5.8,0.7,1.2,4,3.1,1.6,50.0%,25.2%,Kawhi Leonard,4.7,26.0,57.2%,81.6%,11.1%,1.4,0.6,38.5%,11.7%,16.2,17-18,46.8%,31.4%,51.8%,2.0,4.3%,圣安东尼奥马刺,23.4,30.6%,5,0.9
60,5.1,30.7%,118,6.3,1.9%,4.4,0.3,0.7%,4.0,2.6,64.9%,22.3%,2.9,1.2,43.6%,15.8%,106,2.7,10.8%,2,2.3,60,2.0,25,10.4%,3.9,18.1,3.2,6.8,14.5,8.9,0.6,2.8,19,2.4,1.1,47.9%,13.2%,Kyrie Irving,3.8,25.0,61.0%,88.9%,6.4%,2.0,1.1,54.9%,11.2%,24.4,17-18,49.1%,40.8%,56.8%,1.1,1.7%,波士顿凯尔特人,32.2,31.0%,41,8.9
67,1.6,8.0%,119,7.2,10.0%,6.6,2.8,6.7%,5.9,4.2,70.4%,39.6%,3.1,1.3,40.9%,20.7%,104,3.2,23.3%,146,1.6,66,3.0,43,8.3%,5.2,15.0,7.0,0.1,8.3,7.8,3.1,0.0,38,2.7,1.2,43.1%,18.0%,Anthony Davis,10.0,26.5,58.2%,79.1%,16.6%,3.1,1.1,36.8%,20.8%,20.8,13-14,51.9%,22.2%,52.0%,1.3,2.0%,新奥尔良鹈鹕,35.2,25.2%,29,10.4
64,1.0,6.1%,113,3.7,10.5%,3.5,1.8,5.1%,5.0,3.5,71.3%,46.9%,1.9,0.8,43.5%,18.3%,104,2.4,23.5%,129,1.4,60,2.5,31,10.3%,2.6,10.6,5.6,0.1,7.8,5.5,2.6,0.0,41,1.3,0.5,37.3%,12.3%,Anthony Davis,8.2,21.7,55.9%,75.1%,16.8%,2.3,0.6,26.0%,21.6%,13.5,12-13,51.6%,0.0%,51.6%,1.2,2.2%,新奥尔良鹈鹕,28.9,21.8%,23,6.1
72,3.5,23.6%,104,1.0,3.4%,1.8,0.5,1.6%,1.7,1.1,66.1%,24.1%,0.8,0.3,36.8%,11.1%,110,1.1,15.4%,22,1.4,39,1.4,15,15.2%,1.3,7.1,2.8,1.2,13.9,3.2,0.7,0.4,47,0.8,0.3,36.2%,11.3%,Tracy McGrady,3.5,14.9,50.3%,69.8%,9.1%,2.6,1.0,39.0%,36.4%,8.0,10-11,44.2%,34.1%,47.1%,0.9,2.1%,底特律活塞,23.4,18.6%,25,2.1
